Date,Delivery Period (EET),Price (EUR/MWh)
10-04-2025,01:00,27.64
10-04-2025,01:15,27.64
10-04-2025,01:30,27.64
10-04-2025,01:45,27.64
10-04-2025,02:00,27.61
10-04-2025,02:15,27.61
10-04-2025,02:30,27.61
10-04-2025,02:45,27.61
10-04-2025,03:00,28.51
10-04-2025,03:15,28.51
10-04-2025,03:30,28.51
10-04-2025,03:45,28.51
10-04-2025,04:00,29.6
10-04-2025,04:15,29.6
10-04-2025,04:30,29.6
10-04-2025,04:45,29.6
10-04-2025,05:00,22.08
10-04-2025,05:15,22.08
10-04-2025,05:30,22.08
10-04-2025,05:45,22.08
10-04-2025,06:00,92.02
10-04-2025,06:15,92.02
10-04-2025,06:30,92.02
10-04-2025,06:45,92.02
10-04-2025,07:00,129.37
10-04-2025,07:15,129.37
10-04-2025,07:30,129.37
10-04-2025,07:45,129.37
10-04-2025,08:00,174.97
10-04-2025,08:15,174.97
10-04-2025,08:30,174.97
10-04-2025,08:45,174.97
10-04-2025,09:00,136.58
10-04-2025,09:15,136.58
10-04-2025,09:30,136.58
10-04-2025,09:45,136.58
10-04-2025,10:00,90.49
10-04-2025,10:15,90.49
10-04-2025,10:30,90.49
10-04-2025,10:45,90.49
10-04-2025,11:00,44.16
10-04-2025,11:15,44.16
10-04-2025,11:30,44.16
10-04-2025,11:45,44.16
10-04-2025,12:00,30.15
10-04-2025,12:15,30.15
10-04-2025,12:30,30.15
10-04-2025,12:45,30.15
10-04-2025,13:00,27.92
10-04-2025,13:15,27.92
10-04-2025,13:30,27.92
10-04-2025,13:45,27.92
10-04-2025,14:00,4.94
10-04-2025,14:15,4.94
10-04-2025,14:30,4.94
10-04-2025,14:45,4.94
10-04-2025,15:00,3.44
10-04-2025,15:15,3.44
10-04-2025,15:30,3.44
10-04-2025,15:45,3.44
10-04-2025,16:00,7.08
10-04-2025,16:15,7.08
10-04-2025,16:30,7.08
10-04-2025,16:45,7.08
10-04-2025,17:00,8.68
10-04-2025,17:15,8.68
10-04-2025,17:30,8.68
10-04-2025,17:45,8.68
10-04-2025,18:00,42.15
10-04-2025,18:15,42.15
10-04-2025,18:30,42.15
10-04-2025,18:45,42.15
10-04-2025,19:00,108.41
10-04-2025,19:15,108.41
10-04-2025,19:30,108.41
10-04-2025,19:45,108.41
10-04-2025,20:00,227.52
10-04-2025,20:15,227.52
10-04-2025,20:30,227.52
10-04-2025,20:45,227.52
10-04-2025,21:00,227.59
10-04-2025,21:15,227.59
10-04-2025,21:30,227.59
10-04-2025,21:45,227.59
10-04-2025,22:00,138.98
10-04-2025,22:15,138.98
10-04-2025,22:30,138.98
10-04-2025,22:45,138.98
10-04-2025,23:00,98.11
10-04-2025,23:15,98.11
10-04-2025,23:30,98.11
10-04-2025,23:45,98.11
11-04-2025,00:00,22.08
11-04-2025,00:15,22.08
11-04-2025,00:30,22.08
11-04-2025,00:45,22.08
